"Lesson 19 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"printempo"	"spring"
"glacio"	"ice"
"vetero"	"weather"
"broso"	"brush"
"relo"	"rail"
"rado"	"wheel"
"ĉapo"	"bonnet, cap"
"arbeto"	"little tree"
"vento"	"wind"
"branĉo"	"branch"
"vizaĝo"	"face"
"kuvo"	"tub"
"kolego"	"companion, colleague"
"Hebreo"	"Hebrew"
"Kristano"	"Christian"
"kapo"	"head"
"botelo"	"bottle"
"dev-"	"have to, must"
"kurac-"	"treat as a doctor"
"pren-"	"take"
"pend-"	"hang"
"blov-"	"blow"
"ekbrul-"	"begin to burn"
"rid-"	"laugh"
"romp-"	"break"
"fluida"	"fluid"
"kota"	"dirty, muddy"
"natura"	"natural"
"seka"	"dry"
"tamen"	"however, nevertheless, yet"
