"Lesson 2 Vocabulary " "<a  href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"granda" "adj     large"
"ruĝa" "adj     red"
"bela " "adj     beautiful"
"blanka" "adj     white"
"blua" "adj     blue"
"bona" "adj     good"
"fidela" "adj     faithful"
"forta" "adj     strong"
"freŝa" "adj     fresh"
"juna" "adj     young"
"matura" "adj     mature, ripe"
"nova" "adj     new"
"nutra" "adj     nutritious"
"pura" "adj     pure. Clean"
"riĉa" "adj     rich "
"sana" "adj     well (healthy)"
"ĉielo" "noun     sky, heaven"
"festo" "noun     holiday"
"fraŭlino" "noun     maiden lass, Miss"
"homo" "noun     man (human being)"
"hundo" "noun     dog"
"infano" "noun     child"
"Johano" "noun     John"
"krajero" "noun     exercise book"
"lakto" "noun     milk"
"mano" "noun     hand"
"neĝo" "noun     snow"
"pano" "noun     bread"
"papero" "noun     paper"
"tablo" "noun     table"
"vino" "noun     wine"
"onklo" "noun     uncle"
"pli" "     more"
"ol" "     than"
"sed" "     but"
"tre" "     very"
