"Lesson 10 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"nomo"	"name"
"vesto"	"coat, clothing"
"kandelo"	"candle"
"dometo"	"cottage"
"akvo"	"water"
"spegulo"	"looking-glass"
"est-"	"be"
"tuŝ-"	"touch"
"aŭskult-"	"listen"
"pardon-"	"pardon"
"uz-"	"use"
"ordon-"	"order"
"babil-"	"chatter"
"send-"	"send"
"trink-"	"drink"
"vol-"	"will, wish"
"bat-"	"beat"
"kuraĝ-"	"have courage"
"rajd-"	"ride"
"las-"	"let, leave"
"kur-"	"run"
"parol-"	"speak"
"viv-"	"live, have life"
"rest-"	"rest, remain"
"honesta"	"honest"
"inda"	"worthy"
"atenta"	"attentive"
"kara"	"dear"
"gaja"	"gay, cheerful"
"tia"	"such"
"longa"	"long"
"sincera"	"sincere"
"for"	"away, forth"
"forte"	"strongly"
"sole"	"alone"
