"Lesson 8 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"si"	"himself herself, itself, themselves"
"sia"	"his own, her own, its own, their own"
"buŝo"	"mouth"
"orelo"	"ear"
"fingro"	"finger"
"horo"	"hour"
"minuto"	"minute"
"sekundo"	"second"
"monato"	"month"
"semajno"	"week"
"dato"	"date (of month, etc.)"
"pov-"	"can be able"
"promen-"	"take a walk"
"konsist-"	"consist"
"elekt-"	"choose, elect"
"forges-"	"forget"
"kre-"	"create"
"estu"	"should be"
"facile"	"easily"
"sankta"	"holy"
"unuj"	"some"
"alia"	"other"
"ĉio"	"everything, all"
"multe"	"much, many"
"per"	"by means of, through, with"
"nur"	"only"
"malbona"	"bad"
"Kristnaska Tago"	"Christmas Day"
"Januaro"	"January"
"Februaro"	"February"
"Marto"	"March"
"Aprilo"	"April"
"Majo"	"May"
"Junio"	"June"
"Julio"	"July"
"Aŭgusto"	"August"
"Septembro"	"September"
"Oktobro"	"October"
"Novembro"	"November"
"Decembro"	"December"
"nulo"	"0"
"unu"	"1"
"du"	"2"
"tri"	"3"
"kvar"	"4"
"kvin"	"5"
"ses"	"6"
"sep"	"7"
"ok"	"8"
"naŭ"	"9"
"dek"	"10"
"dek unu"	"11"
"dek du"	"12"
"dek naŭ"	"19"
"dudek"	"20"
"dudek tri"	"23"
"tridek"	"30"
"kvardek sep"	"47"
"okdek kvin"	"85"
"naŭdek"	"90"
"cent"	"100"
"cent tridek ses"	"136"
"ducent ok"	"208"
"tricent kvindek naŭ"	"359"
"mil"	"1,000"
"mil unu"	"1,001"
"mil naŭcent sep"	"1,907"
"dumil okcent sepdek sep"	"2,877"
"unua"	"first"
"dua"	"second"
"tria"	"third"
"kvara"	"fourth"
"deka"	"tenth"
"centa"	"hundredth"
"mila"	"thousandth"
"dek-unua"	"eleventh"
"tridek-naŭa"	"thirty-ninth"
"cent-kvardek-kvina,"	"145th"
"unue"	"firstly (see Lesson 12)"
"kvine"	"fifthly"
"deke"	"tenthly"
