"Lesson 9 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"urbo, town."	"loĝanto, inhabitant."
"kulero, spoon."	"forko, fork."
"mono, money."	"prunto, loan."
"metro, metre."	"ŝtofo, stuff."
"franko, franc (about 10d.)."	"atakanto, assailant."
"pago, payment."	"miliono, a million."
"prunt-, lend. 	aĉet-, buy."	"dank-, thank."
"pet-, beg, request."	"bezon-, want, need."
"kost-, cost."	"poste, afterwards."
"tiu ĉi, this."	"por, for."
"re-, prefix, meaning again or back."	"tial, therefore."
"aŭ, or."	"da, of (after a quantity)."
