"Lesson 15 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"komercaĵo"	"commodity"
"surtuto"	"overcoat"
"ŝuldo"	"debt"
"ringo"	"ring"
"projekto"	"project"
"inĝeniero"	"civil engineer"
"fervojo"	"railroad"
"preĝo"	"prayer"
"pasero"	"sparrow"
"aglo"	"eagle"
"invit-"	"invite"
"konstru-"	"construct"
"sciig-"	"inform"
"kaŝ-"	"hide"
"pens-"	"think"
"kapt-"	"capture"
"trankvila"	"quiet"
"tuta"	"all, whole"
"grava"	"important"
"ora"	"golden"
"volonte"	"willingly"
"sekve"	"consequently"
"laŭ"	"according to"
