"Lesson 17 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"braceleto"	"bracelet"
"ŝtelisto"	"thief"
"vorto"	"word"
"duko"	"duke"
"juvelo"	"jewel"
"juvelujo"	"jewel-case"
"dolaro"	"dollar"
"instruo"	"instruction"
"planko"	"floor"
"imperiestro"	"emperor"
"okazo"	"opportunity, occurrence, chance"
"serv-"	"serve"
"medit-"	"meditate"
"port-"	"carry"
"demand-"	"ask"
"ŝpar-"	"save"
"edziĝ-"	"marry"
"hont-"	"be ashamed"
"ir-"	"go"
"profunda"	"deep"
"kelka"	"some"
"ia"	"some (kind), any (kind)"
"kredeble"	"probably"
"trans"	"across"
"tio ĉi"	"this (thing)"
